kton/a,Electric arc,Integrated steelworks,DRI + Electric arc,Other chemicals,Pharmaceutical products etc.,Cement,Ceramics & other NMM,Glass production,Pulp production,Paper production,Printing and media reproduction,"Food, beverages and tobacco",Alumina production,Aluminium - primary production,Aluminium - secondary production,Other non-ferrous metals,Transport equipment,Machinery equipment,Textiles and leather,Wood and wood products,Other industrial sectors,Ammonia,HVC,Chlorine,Methanol,HVC (mechanical recycling),HVC (chemical recycling)
AL,111.35,17.99,41.97,7.42,2.84,33.15,59.54,6.75,11.68,26.39,3.03,430.44,0.00,0.00,0.00,0.00,0.00,0.00,273.17,4.09,1118.77,0.00,8.40,3.10,0.48,4.54,2.69
AT,3342.15,1224.41,2856.96,476.35,197.38,4516.95,9961.66,765.62,2090.27,4984.71,235.83,4541.55,0.00,0.00,472.00,417.93,4533.23,17870.55,1157.96,2391.98,28333.84,552.50,439.69,162.01,25.37,237.43,140.70
BA,914.97,147.80,344.87,9.83,3.77,899.84,1616.27,183.26,30.16,68.16,7.82,521.43,0.00,0.00,0.00,0.00,226.13,1130.02,379.98,91.83,1244.88,0.00,11.13,4.10,0.64,6.01,3.56
BE,4574.62,955.48,2229.45,1526.66,365.53,5834.21,13772.26,1399.07,514.98,1935.11,612.52,14203.86,0.00,0.00,0.00,1861.50,4224.66,9654.64,3005.12,1003.79,23760.91,1056.43,2103.78,775.16,121.37,1136.04,673.21
BG,565.90,0.00,0.00,525.90,90.36,2371.46,4577.70,612.27,238.79,363.97,36.92,2088.42,0.00,0.00,11.86,448.36,629.06,4656.30,1106.23,292.34,8597.73,279.29,187.49,69.08,10.82,101.24,60.00
CH,683.98,110.49,257.80,330.51,126.67,1637.26,2940.82,333.44,265.07,598.99,68.71,3522.76,0.00,0.00,0.00,0.00,13604.09,3584.44,639.09,0.00,8032.98,17.00,367.81,135.52,21.22,198.62,117.70
CZ,1882.10,766.42,1788.31,579.46,287.20,4569.38,10724.42,1179.04,556.87,882.12,200.51,4832.84,0.00,0.00,66.00,225.00,19527.45,23656.22,2211.73,893.71,21349.52,157.86,502.48,185.14,28.99,271.34,160.79
DE,22776.12,5055.37,11795.86,7142.99,2788.19,34185.34,53301.38,7377.61,2325.96,22080.04,2325.65,44084.88,1900.00,308.11,959.89,2681.34,108810.03,176044.91,7440.29,7247.44,125716.77,2932.50,7526.05,2773.06,434.20,4064.07,2408.34
DK,504.10,0.00,0.00,434.82,265.89,2440.60,7209.54,202.62,4.83,298.74,42.72,5408.19,0.00,0.00,0.00,0.00,529.80,7029.30,293.55,335.88,14791.59,0.00,0.00,0.00,0.00,0.00,0.00
EE,0.00,0.00,0.00,16.22,2.70,411.30,624.08,86.68,222.25,76.07,69.98,567.00,0.00,0.00,0.00,5.18,317.53,1048.95,162.26,306.06,3950.12,26.71,8.50,3.13,0.49,4.59,2.72
ES,11010.46,773.16,1804.05,2598.82,750.04,16654.31,47958.96,4777.00,1456.20,6436.60,876.98,23067.80,1595.00,133.43,86.57,1809.48,24544.92,34569.52,6709.25,2721.17,113325.63,534.29,1641.08,604.67,94.68,886.18,525.14
FI,2064.09,422.76,986.45,713.95,119.29,1430.23,4963.38,140.03,11600.00,9720.00,302.72,3522.57,0.00,0.00,24.27,946.24,2148.99,11106.34,327.37,2268.78,34352.50,94.71,584.67,215.43,33.73,315.72,187.09
FR,8333.72,1834.78,4281.15,4341.91,1960.04,19964.45,48251.45,3362.32,1626.00,7325.00,1231.25,43143.76,300.00,243.82,348.18,877.33,37417.96,59090.70,4549.33,2451.16,138052.43,1073.43,3108.66,1145.42,179.35,1678.67,994.77
GB,3373.31,544.92,1271.48,1748.47,670.13,3077.10,5527.03,626.66,2025.53,4577.20,525.03,23956.37,0.00,0.00,0.00,0.00,41261.53,75280.94,9402.50,334.64,170589.19,959.29,1618.21,596.25,93.36,873.83,517.83
GR,1350.00,0.00,0.00,57.03,41.00,5539.52,4655.00,118.07,0.00,374.82,93.70,3940.27,672.40,110.38,71.62,83.07,269.93,2999.37,1552.73,125.40,14291.34,133.57,85.88,31.64,4.95,46.38,27.48
HR,69.12,0.00,0.00,188.76,33.27,2717.99,2459.07,118.33,46.85,346.79,131.21,1693.45,0.00,0.00,102.55,5.30,331.64,2178.00,433.01,376.48,8774.59,478.43,0.00,0.00,0.00,0.00,0.00
HU,907.63,258.56,603.31,234.16,395.37,2500.00,7265.33,435.38,0.00,873.41,178.89,5743.01,265.00,0.00,56.00,0.00,8777.36,15373.11,725.12,506.16,27733.83,463.86,461.08,169.89,26.60,248.99,147.55
IE,0.00,0.00,0.00,194.71,468.71,4132.56,3047.76,180.00,0.00,50.00,50.00,4018.16,1893.00,0.00,0.00,81.50,198.22,4958.67,176.47,630.19,8161.52,0.00,0.00,0.00,0.00,0.00,0.00
IT,20661.44,758.68,1770.25,1833.46,1808.02,19384.98,49193.24,6033.44,333.78,8908.94,1960.58,24097.20,0.00,0.00,687.60,1573.25,15524.01,120216.49,20098.34,2031.25,77346.25,578.00,1629.85,600.54,94.03,880.12,521.55
LT,0.00,0.00,0.00,13.41,0.00,1222.93,577.85,92.36,0.00,159.09,31.86,1560.08,0.00,0.00,0.00,0.00,158.77,1375.80,562.82,373.31,4990.20,1050.36,0.00,0.00,0.00,0.00,0.00
LU,2119.28,0.00,0.00,51.71,18.31,1000.00,204.00,403.43,0.00,0.00,23.62,148.31,0.00,0.00,0.00,0.00,57.28,304.97,606.46,25.65,2206.40,0.00,0.00,0.00,0.00,0.00,0.00
LV,0.00,0.00,0.00,15.16,17.90,1000.00,1341.30,156.10,0.00,36.28,12.09,675.47,0.00,0.00,0.00,0.00,214.84,542.61,130.29,2047.98,2699.41,0.00,3.29,1.21,0.19,1.78,1.05
ME,30.84,4.98,11.62,1.27,0.49,262.99,472.37,53.56,0.76,1.73,0.20,199.38,0.00,0.00,0.00,0.00,0.00,102.51,4.60,71.15,521.84,0.00,1.44,0.53,0.08,0.77,0.46
MK,824.93,133.26,310.94,5.28,2.03,12.13,21.79,2.47,2.51,5.67,0.65,346.16,0.00,0.00,0.00,0.00,682.83,272.15,198.94,3.37,205.11,0.00,5.99,2.20,0.35,3.23,1.92
NL,2610.40,1213.94,2832.53,763.60,161.00,2303.00,4458.00,1540.54,33.82,2895.00,361.99,17236.48,0.00,49.19,31.91,650.30,4104.26,18273.55,1822.34,239.70,56080.26,2671.43,4939.81,1820.13,284.99,2667.50,1580.74
NO,2845.71,459.69,1072.61,764.87,293.15,10122.93,18182.62,2061.58,537.86,1215.44,139.42,3382.16,0.00,0.00,0.00,0.00,1827.29,4107.08,192.32,723.26,2100.37,364.29,728.75,268.51,42.04,393.52,233.20
PL,5965.65,897.12,2093.29,2933.51,103.09,18946.00,20000.00,3490.73,1622.54,4879.73,256.85,19209.33,0.00,0.00,499.26,1234.07,18633.39,26098.38,2224.97,4776.04,38017.10,2551.21,398.18,146.71,22.97,215.01,127.42
PT,2032.85,0.00,0.00,335.59,66.11,4297.56,8970.44,1791.55,2744.90,2024.50,251.02,4022.89,0.00,0.00,20.11,72.96,3145.49,5291.72,5474.97,616.53,12429.86,0.00,319.50,117.73,18.43,172.53,102.24
